totalEvnts kDim initSigFrac inputTotalSig outputTotalSig
500 100 0 0 9.05647
500 200 0 0 6.18364
500 300 0 0 5.50036
500 400 0 0 4.70133
500 500 0 0 3.87357
500 600 0 0 4.64823
500 700 0 0 3.2632
500 800 0 0 3.20231
500 900 0 0 3.21039
500 1000 0 0 3.72409
500 100 1 500 499.724
500 200 1 500 499.923
500 300 1 500 499.961
500 400 1 500 499.968
500 500 1 500 499.964
500 600 1 500 499.976
500 700 1 500 499.966
500 800 1 500 499.984
500 900 1 500 499.98
500 1000 1 500 499.983
500 100 0.1 50 51.8894
500 200 0.1 50 52.5869
500 300 0.1 50 51.6488
500 400 0.1 50 50.1729
500 500 0.1 50 50.0235
500 600 0.1 50 49.4543
500 700 0.1 50 48.2748
500 800 0.1 50 49.6339
500 900 0.1 50 49.6279
500 1000 0.1 50 50.3736
500 100 0.2 100 102.4
500 200 0.2 100 99.9455
500 300 0.2 100 100.037
500 400 0.2 100 100.945
500 500 0.2 100 100.105
500 600 0.2 100 99.2313
500 700 0.2 100 99.8735
500 800 0.2 100 99.0744
500 900 0.2 100 100.666
500 1000 0.2 100 99.1997
500 100 0.3 150 151.357
500 200 0.3 150 151.122
500 300 0.3 150 150.422
500 400 0.3 150 150.125
500 500 0.3 150 148.547
500 600 0.3 150 149.224
500 700 0.3 150 148.602
500 800 0.3 150 148.775
500 900 0.3 150 148.793
500 1000 0.3 150 150.008
500 100 0.4 200 203.389
500 200 0.4 200 200.661
500 300 0.4 200 198.373
500 400 0.4 200 201.55
500 500 0.4 200 199.437
500 600 0.4 200 199.3
500 700 0.4 200 200.549
500 800 0.4 200 199.259
500 900 0.4 200 198.924
500 1000 0.4 200 198.597
500 100 0.5 250 251.334
500 200 0.5 250 249.257
500 300 0.5 250 251.397
500 400 0.5 250 250.255
500 500 0.5 250 249.718
500 600 0.5 250 250.335
500 700 0.5 250 250.134
500 800 0.5 250 250.26
500 900 0.5 250 248.578
500 1000 0.5 250 250.619
500 100 0.6 300 301.017
500 200 0.6 300 301.366
500 300 0.6 300 300.031
500 400 0.6 300 300.427
500 500 0.6 300 297.927
500 600 0.6 300 298.66
500 700 0.6 300 299.792
500 800 0.6 300 299.36
500 900 0.6 300 299.903
500 1000 0.6 300 299.708
500 100 0.7 350 350.734
500 200 0.7 350 350.699
500 300 0.7 350 350.747
500 400 0.7 350 349.832
500 500 0.7 350 349.567
500 600 0.7 350 349.987
500 700 0.7 350 349.317
500 800 0.7 350 350.561
500 900 0.7 350 349.623
500 1000 0.7 350 349.765
500 100 0.8 400 402.169
500 200 0.8 400 401.513
500 300 0.8 400 400.654
500 400 0.8 400 400.208
500 500 0.8 400 399.963
500 600 0.8 400 400.974
500 700 0.8 400 400.205
500 800 0.8 400 399.823
500 900 0.8 400 399.906
500 1000 0.8 400 399.811
500 100 0.9 450 451.41
500 200 0.9 450 451.129
500 300 0.9 450 450.953
500 400 0.9 450 450.051
500 500 0.9 450 449.55
500 600 0.9 450 449.631
500 700 0.9 450 449.376
500 800 0.9 450 449.976
500 900 0.9 450 449.505
500 1000 0.9 450 449.83
