totalEvnts kDim initSigFrac inputTotalSig outputTotalSig
500 100 0 0 17.5426
500 200 0 0 17.9878
500 300 0 0 24.7426
500 400 0 0 22.3867
500 500 0 0 18.3868
500 600 0 0 22.0071
500 700 0 0 20.3535
500 800 0 0 25.0577
500 900 0 0 22.6598
500 1000 0 0 23.8633
500 100 1 500 499.728
500 200 1 500 499.93
500 300 1 500 499.962
500 400 1 500 499.973
500 500 1 500 499.971
500 600 1 500 499.982
500 700 1 500 499.968
500 800 1 500 499.991
500 900 1 500 499.986
500 1000 1 500 499.985
500 100 0.1 50 57.4221
500 200 0.1 50 64.3284
500 300 0.1 50 62.2456
500 400 0.1 50 60.9462
500 500 0.1 50 60.9222
500 600 0.1 50 55.1739
500 700 0.1 50 57.1139
500 800 0.1 50 57.309
500 900 0.1 50 57.3393
500 1000 0.1 50 63.2803
500 100 0.2 100 108.345
500 200 0.2 100 104.227
500 300 0.2 100 102.721
500 400 0.2 100 107.09
500 500 0.2 100 100.438
500 600 0.2 100 99.8898
500 700 0.2 100 98.8122
500 800 0.2 100 102.357
500 900 0.2 100 101.847
500 1000 0.2 100 103.698
500 100 0.3 150 155.344
500 200 0.3 150 151.607
500 300 0.3 150 149.685
500 400 0.3 150 153.742
500 500 0.3 150 148.371
500 600 0.3 150 149.274
500 700 0.3 150 143.98
500 800 0.3 150 147.683
500 900 0.3 150 148.837
500 1000 0.3 150 152.751
500 100 0.4 200 201.936
500 200 0.4 200 200.267
500 300 0.4 200 194.304
500 400 0.4 200 196.44
500 500 0.4 200 197.047
500 600 0.4 200 197.478
500 700 0.4 200 197.151
500 800 0.4 200 199.101
500 900 0.4 200 197.607
500 1000 0.4 200 195.861
500 100 0.5 250 253.987
500 200 0.5 250 250.734
500 300 0.5 250 250.247
500 400 0.5 250 250.785
500 500 0.5 250 246.125
500 600 0.5 250 251.635
500 700 0.5 250 246.826
500 800 0.5 250 248.377
500 900 0.5 250 247.084
500 1000 0.5 250 249.829
500 100 0.6 300 301.939
500 200 0.6 300 299.869
500 300 0.6 300 298.471
500 400 0.6 300 300.244
500 500 0.6 300 300.405
500 600 0.6 300 299.339
500 700 0.6 300 299.046
500 800 0.6 300 299.585
500 900 0.6 300 297.716
500 1000 0.6 300 298.316
500 100 0.7 350 351.877
500 200 0.7 350 350.402
500 300 0.7 350 350.63
500 400 0.7 350 350.544
500 500 0.7 350 349.172
500 600 0.7 350 349.206
500 700 0.7 350 349.642
500 800 0.7 350 352.945
500 900 0.7 350 347.61
500 1000 0.7 350 348.093
500 100 0.8 400 402.765
500 200 0.8 400 399.872
500 300 0.8 400 400.493
500 400 0.8 400 399.553
500 500 0.8 400 400.264
500 600 0.8 400 399.531
500 700 0.8 400 400.602
500 800 0.8 400 398.886
500 900 0.8 400 398.978
500 1000 0.8 400 396.662
500 100 0.9 450 450.861
500 200 0.9 450 450.036
500 300 0.9 450 450.412
500 400 0.9 450 450.123
500 500 0.9 450 449.742
500 600 0.9 450 449.577
500 700 0.9 450 450.78
500 800 0.9 450 450.061
500 900 0.9 450 448.966
500 1000 0.9 450 447.733
