totalEvnts kDim initSigFrac inputTotalSig outputTotalSig
500 100 0 0 4.97511
500 200 0 0 3.27756
500 300 0 0 3.03475
500 400 0 0 2.61181
500 500 0 0 2.28723
500 600 0 0 1.72495
500 700 0 0 1.67769
500 800 0 0 1.94224
500 900 0 0 1.42272
500 1000 0 0 1.61131
500 100 1 500 499.717
500 200 1 500 499.923
500 300 1 500 499.953
500 400 1 500 499.965
500 500 1 500 499.962
500 600 1 500 499.973
500 700 1 500 499.965
500 800 1 500 499.982
500 900 1 500 499.979
500 1000 1 500 499.981
500 100 0.1 50 52.0461
500 200 0.1 50 49.6123
500 300 0.1 50 49.1442
500 400 0.1 50 49.1838
500 500 0.1 50 49.852
500 600 0.1 50 48.8452
500 700 0.1 50 49.327
500 800 0.1 50 49.658
500 900 0.1 50 49.7569
500 1000 0.1 50 49.182
500 100 0.2 100 101.815
500 200 0.2 100 99.8991
500 300 0.2 100 99.0949
500 400 0.2 100 98.7421
500 500 0.2 100 99.1285
500 600 0.2 100 97.8526
500 700 0.2 100 99.3668
500 800 0.2 100 99.0118
500 900 0.2 100 99.2353
500 1000 0.2 100 99.1755
500 100 0.3 150 147.855
500 200 0.3 150 147.106
500 300 0.3 150 149.731
500 400 0.3 150 149.08
500 500 0.3 150 148.882
500 600 0.3 150 148.929
500 700 0.3 150 147.627
500 800 0.3 150 147.741
500 900 0.3 150 149.712
500 1000 0.3 150 149.021
500 100 0.4 200 200.575
500 200 0.4 200 198.643
500 300 0.4 200 200.631
500 400 0.4 200 198.117
500 500 0.4 200 199.504
500 600 0.4 200 198.946
500 700 0.4 200 197.874
500 800 0.4 200 199.438
500 900 0.4 200 198.604
500 1000 0.4 200 198.014
500 100 0.5 250 247.723
500 200 0.5 250 249.995
500 300 0.5 250 248.881
500 400 0.5 250 248.876
500 500 0.5 250 248.331
500 600 0.5 250 249.709
500 700 0.5 250 248.83
500 800 0.5 250 248.594
500 900 0.5 250 248.582
500 1000 0.5 250 248.901
500 100 0.6 300 299.443
500 200 0.6 300 298.321
500 300 0.6 300 299.03
500 400 0.6 300 298.488
500 500 0.6 300 298.112
500 600 0.6 300 298.792
500 700 0.6 300 299.83
500 800 0.6 300 299.203
500 900 0.6 300 299.152
500 1000 0.6 300 299.349
500 100 0.7 350 350.808
500 200 0.7 350 348.086
500 300 0.7 350 349.572
500 400 0.7 350 348.905
500 500 0.7 350 349.66
500 600 0.7 350 349.846
500 700 0.7 350 349.791
500 800 0.7 350 349.043
500 900 0.7 350 348.779
500 1000 0.7 350 349.021
500 100 0.8 400 399.667
500 200 0.8 400 399.25
500 300 0.8 400 399.043
500 400 0.8 400 400.175
500 500 0.8 400 397.95
500 600 0.8 400 399.563
500 700 0.8 400 399.742
500 800 0.8 400 399.713
500 900 0.8 400 399.15
500 1000 0.8 400 399.445
500 100 0.9 450 450.392
500 200 0.9 450 449.723
500 300 0.9 450 449.35
500 400 0.9 450 450.307
500 500 0.9 450 449.776
500 600 0.9 450 450.411
500 700 0.9 450 449.719
500 800 0.9 450 449.826
500 900 0.9 450 449.182
500 1000 0.9 450 449.538
