totalEvnts kDim initSigFrac inputTotalSig outputTotalSig
500 100 0 0 9.09697
500 200 0 0 5.48841
500 300 0 0 5.02288
500 400 0 0 4.19807
500 500 0 0 3.74008
500 600 0 0 3.59626
500 700 0 0 2.89967
500 800 0 0 2.78307
500 900 0 0 2.90722
500 1000 0 0 2.81896
500 100 1 500 499.724
500 200 1 500 499.927
500 300 1 500 499.965
500 400 1 500 499.969
500 500 1 500 499.965
500 600 1 500 499.975
500 700 1 500 499.965
500 800 1 500 499.985
500 900 1 500 499.981
500 1000 1 500 499.984
500 100 0.1 50 51.6989
500 200 0.1 50 51.8419
500 300 0.1 50 50.9182
500 400 0.1 50 50.1914
500 500 0.1 50 50.2348
500 600 0.1 50 50.3727
500 700 0.1 50 49.1805
500 800 0.1 50 50.4018
500 900 0.1 50 50.6183
500 1000 0.1 50 50.7092
500 100 0.2 100 102.794
500 200 0.2 100 100.68
500 300 0.2 100 101.449
500 400 0.2 100 100.83
500 500 0.2 100 100.736
500 600 0.2 100 100.28
500 700 0.2 100 100.02
500 800 0.2 100 100.176
500 900 0.2 100 100.443
500 1000 0.2 100 99.9692
500 100 0.3 150 150.473
500 200 0.3 150 152.275
500 300 0.3 150 150.798
500 400 0.3 150 150.933
500 500 0.3 150 149.259
500 600 0.3 150 150.962
500 700 0.3 150 149.985
500 800 0.3 150 150.181
500 900 0.3 150 150.557
500 1000 0.3 150 150.885
500 100 0.4 200 202.379
500 200 0.4 200 200.925
500 300 0.4 200 198.986
500 400 0.4 200 201.061
500 500 0.4 200 200.915
500 600 0.4 200 199.328
500 700 0.4 200 200.708
500 800 0.4 200 200.646
500 900 0.4 200 200.595
500 1000 0.4 200 200.309
500 100 0.5 250 250.769
500 200 0.5 250 249.394
500 300 0.5 250 250.382
500 400 0.5 250 250.094
500 500 0.5 250 249.745
500 600 0.5 250 250.48
500 700 0.5 250 250.642
500 800 0.5 250 250.568
500 900 0.5 250 250.165
500 1000 0.5 250 250.766
500 100 0.6 300 300.654
500 200 0.6 300 301.293
500 300 0.6 300 300.751
500 400 0.6 300 300.664
500 500 0.6 300 299.093
500 600 0.6 300 299.719
500 700 0.6 300 300.24
500 800 0.6 300 299.978
500 900 0.6 300 300.356
500 1000 0.6 300 299.832
500 100 0.7 350 351.161
500 200 0.7 350 350.972
500 300 0.7 350 351.087
500 400 0.7 350 350.332
500 500 0.7 350 350.169
500 600 0.7 350 350.172
500 700 0.7 350 350.246
500 800 0.7 350 350.176
500 900 0.7 350 350.112
500 1000 0.7 350 350.551
500 100 0.8 400 401.913
500 200 0.8 400 402.011
500 300 0.8 400 399.985
500 400 0.8 400 400.315
500 500 0.8 400 400.27
500 600 0.8 400 400.73
500 700 0.8 400 400.312
500 800 0.8 400 399.89
500 900 0.8 400 400.398
500 1000 0.8 400 400.157
500 100 0.9 450 451.198
500 200 0.9 450 450.85
500 300 0.9 450 451.134
500 400 0.9 450 450.003
500 500 0.9 450 449.555
500 600 0.9 450 449.907
500 700 0.9 450 449.558
500 800 0.9 450 449.843
500 900 0.9 450 449.748
500 1000 0.9 450 450.045
